name	codepoint_hex	glyph	printf_escape
nf-cod-account	eb99		\ueb99
nf-cod-add	ea60		\uea60
nf-cod-archive	ea98		\uea98
nf-cod-azure	ebd8		\uebd8
nf-cod-beaker	ea79		\uea79
nf-cod-bell	eaa2		\ueaa2
nf-cod-blank	ec03		\uec03
nf-cod-bold	eaa3		\ueaa3
nf-cod-book	eaa4		\ueaa4
nf-cod-bookmark	eaa5		\ueaa5
nf-cod-briefcase	eaac		\ueaac
nf-cod-broadcast	eaad		\ueaad
nf-cod-browser	eaae		\ueaae
nf-cod-bug	eaaf		\ueaaf
nf-cod-calendar	eab0		\ueab0
nf-cod-check	eab2		\ueab2
nf-cod-checklist	eab3		\ueab3
nf-cod-chip	ec19		\uec19
nf-cod-circle	eabc		\ueabc
nf-cod-clippy	eac0		\ueac0
nf-cod-close	ea76		\uea76
nf-cod-cloud	ebaa		\uebaa
nf-cod-code	eac4		\ueac4
nf-cod-coffee	ec15		\uec15
nf-cod-combine	ebb6		\uebb6
nf-cod-comment	ea6b		\uea6b
nf-cod-compass	ebd5		\uebd5
nf-cod-copilot	ec1e		\uec1e
nf-cod-copy	ebcc		\uebcc
nf-cod-dash	eacc		\ueacc
nf-cod-dashboard	eacd		\ueacd
nf-cod-database	eace		\ueace
nf-cod-debug	ead8		\uead8
nf-cod-diff	eae1		\ueae1
nf-cod-discard	eae2		\ueae2
nf-cod-edit	ea73		\uea73
nf-cod-ellipsis	ea7c		\uea7c
nf-cod-error	ea87		\uea87
nf-cod-exclude	eae5		\ueae5
nf-cod-export	ebac		\uebac
nf-cod-extensions	eae6		\ueae6
nf-cod-eye	ea70		\uea70
nf-cod-feedback	eb96		\ueb96
nf-cod-file	ea7b		\uea7b
nf-cod-files	eaf0		\ueaf0
nf-cod-filter	eaf1		\ueaf1
nf-cod-flame	eaf2		\ueaf2
nf-cod-fold	eaf5		\ueaf5
nf-cod-folder	ea83		\uea83
nf-cod-game	ec17		\uec17
nf-cod-gear	eaf8		\ueaf8
nf-cod-gift	eaf9		\ueaf9
nf-cod-github	ea84		\uea84
nf-cod-globe	eb01		\ueb01
nf-cod-grabber	eb02		\ueb02
nf-cod-graph	eb03		\ueb03
nf-cod-gripper	eb04		\ueb04
nf-cod-heart	eb05		\ueb05
nf-cod-history	ea82		\uea82
nf-cod-home	eb06		\ueb06
nf-cod-hubot	eb08		\ueb08
nf-cod-inbox	eb09		\ueb09
nf-cod-indent	ebf9		\uebf9
nf-cod-info	ea74		\uea74
nf-cod-insert	ec11		\uec11
nf-cod-inspect	ebd1		\uebd1
nf-cod-issues	eb0c		\ueb0c
nf-cod-italic	eb0d		\ueb0d
nf-cod-jersey	eb0e		\ueb0e
nf-cod-json	eb0f		\ueb0f
nf-cod-key	eb11		\ueb11
nf-cod-law	eb12		\ueb12
nf-cod-layers	ebd2		\uebd2
nf-cod-layout	ebeb		\uebeb
nf-cod-library	eb9c		\ueb9c
nf-cod-lightbulb	ea61		\uea61
nf-cod-link	eb15		\ueb15
nf-cod-loading	eb19		\ueb19
nf-cod-location	eb1a		\ueb1a
nf-cod-lock	ea75		\uea75
nf-cod-magnet	ebae		\uebae
nf-cod-mail	eb1c		\ueb1c
nf-cod-map	ec05		\uec05
nf-cod-markdown	eb1d		\ueb1d
nf-cod-megaphone	eb1e		\ueb1e
nf-cod-mention	eb1f		\ueb1f
nf-cod-menu	eb94		\ueb94
nf-cod-merge	ebab		\uebab
nf-cod-mic	ec12		\uec12
nf-cod-milestone	eb20		\ueb20
nf-cod-mirror	ea69		\uea69
nf-cod-move	eb22		\ueb22
nf-cod-music	ec1b		\uec1b
nf-cod-mute	eb24		\ueb24
nf-cod-newline	ebea		\uebea
nf-cod-note	eb26		\ueb26
nf-cod-notebook	ebaf		\uebaf
nf-cod-octoface	eb27		\ueb27
nf-cod-organization	ea7e		\uea7e
nf-cod-output	eb9d		\ueb9d
nf-cod-package	eb29		\ueb29
nf-cod-paintcan	eb2a		\ueb2a
nf-cod-pass	eba4		\ueba4
nf-cod-person	ea67		\uea67
nf-cod-piano	ec1a		\uec1a
nf-cod-pin	eb2b		\ueb2b
nf-cod-pinned	eba0		\ueba0
nf-cod-play	eb2c		\ueb2c
nf-cod-plug	eb2d		\ueb2d
nf-cod-preview	eb2f		\ueb2f
nf-cod-project	eb30		\ueb30
nf-cod-pulse	eb31		\ueb31
nf-cod-question	eb32		\ueb32
nf-cod-quote	eb33		\ueb33
nf-cod-reactions	eb35		\ueb35
nf-cod-record	eba7		\ueba7
nf-cod-redo	ebb0		\uebb0
nf-cod-references	eb36		\ueb36
nf-cod-refresh	eb37		\ueb37
nf-cod-regex	eb38		\ueb38
nf-cod-remote	eb3a		\ueb3a
nf-cod-remove	eb3b		\ueb3b
nf-cod-replace	eb3d		\ueb3d
nf-cod-reply	ea7d		\uea7d
nf-cod-repo	ea62		\uea62
nf-cod-report	eb42		\ueb42
nf-cod-rocket	eb44		\ueb44
nf-cod-rss	eb47		\ueb47
nf-cod-ruby	eb48		\ueb48
nf-cod-save	eb4b		\ueb4b
nf-cod-search	ea6d		\uea6d
nf-cod-send	ec0f		\uec0f
nf-cod-server	eb50		\ueb50
nf-cod-settings	eb52		\ueb52
nf-cod-shield	eb53		\ueb53
nf-cod-smiley	eb54		\ueb54
nf-cod-snake	ec16		\uec16
nf-cod-sparkle	ec10		\uec10
nf-cod-squirrel	eb58		\ueb58
nf-cod-sync	ea77		\uea77
nf-cod-table	ebb7		\uebb7
nf-cod-tag	ea66		\uea66
nf-cod-target	ebf8		\uebf8
nf-cod-tasklist	eb67		\ueb67
nf-cod-telescope	eb68		\ueb68
nf-cod-terminal	ea85		\uea85
nf-cod-thumbsdown	eb6b		\ueb6b
nf-cod-thumbsup	eb6c		\ueb6c
nf-cod-tools	eb6d		\ueb6d
nf-cod-trash	ea81		\uea81
nf-cod-twitter	eb72		\ueb72
nf-cod-unfold	eb73		\ueb73
nf-cod-unlock	eb74		\ueb74
nf-cod-unmute	eb75		\ueb75
nf-cod-unverified	eb76		\ueb76
nf-cod-verified	eb77		\ueb77
nf-cod-versions	eb78		\ueb78
nf-cod-vm	ea7a		\uea7a
nf-cod-vr	ec18		\uec18
nf-cod-wand	ebcf		\uebcf
nf-cod-warning	ea6c		\uea6c
nf-cod-watch	eb7c		\ueb7c
nf-cod-whitespace	eb7d		\ueb7d
nf-cod-window	eb7f		\ueb7f
nf-custom-ada	e6b5		\ue6b5
nf-custom-asm	e6ab		\ue6ab
nf-custom-astro	e6b3		\ue6b3
nf-custom-bazel	e63a		\ue63a
nf-custom-c	e61e		\ue61e
nf-custom-chuck	e6b6		\ue6b6
nf-custom-cpp	e61d		\ue61d
nf-custom-crystal	e62f		\ue62f
nf-custom-css	e6b8		\ue6b8
nf-custom-default	e612		\ue612
nf-custom-electron	e62e		\ue62e
nf-custom-elixir	e62d		\ue62d
nf-custom-elm	e62c		\ue62c
nf-custom-emacs	e632		\ue632
nf-custom-fennel	e6af		\ue6af
nf-custom-firebase	e657		\ue657
nf-custom-folder	e5ff		\ue5ff
nf-custom-go	e626		\ue626
nf-custom-home	e617		\ue617
nf-custom-kotlin	e634		\ue634
nf-custom-msdos	e629		\ue629
nf-custom-neovim	e6ae		\ue6ae
nf-custom-orgmode	e633		\ue633
nf-custom-prettier	e6b4		\ue6b4
nf-custom-puppet	e631		\ue631
nf-custom-purescript	e630		\ue630
nf-custom-ruby	e605		\ue605
nf-custom-scheme	e6b1		\ue6b1
nf-custom-toml	e6b2		\ue6b2
nf-custom-vim	e62b		\ue62b
nf-custom-vitruvian	e6b7		\ue6b7
nf-custom-windows	e62a		\ue62a
nf-dev-aarch64	e700		\ue700
nf-dev-adonisjs	e701		\ue701
nf-dev-aftereffects	e705		\ue705
nf-dev-akka	e708		\ue708
