name,codepoint_hex,glyph
nf-fa-fa,f2b4,
nf-cod-account,eb99,
nf-cod-add,ea60,
nf-cod-archive,ea98,
nf-cod-azure,ebd8,
nf-cod-beaker,ea79,
nf-cod-bell,eaa2,
nf-cod-blank,ec03,
nf-cod-bold,eaa3,
nf-cod-book,eaa4,
nf-cod-bookmark,eaa5,
nf-cod-briefcase,eaac,
nf-cod-broadcast,eaad,
nf-cod-browser,eaae,
nf-cod-bug,eaaf,
nf-cod-calendar,eab0,
nf-cod-check,eab2,
nf-cod-checklist,eab3,
nf-cod-chip,ec19,
nf-cod-circle,eabc,
nf-cod-clippy,eac0,
nf-cod-close,ea76,
nf-cod-cloud,ebaa,
nf-cod-code,eac4,
nf-cod-coffee,ec15,
nf-cod-combine,ebb6,
nf-cod-comment,ea6b,
nf-cod-compass,ebd5,
nf-cod-copilot,ec1e,
nf-cod-copy,ebcc,
nf-cod-dash,eacc,
nf-cod-dashboard,eacd,
nf-cod-database,eace,
nf-cod-debug,ead8,
nf-cod-diff,eae1,
nf-cod-discard,eae2,
nf-cod-edit,ea73,
nf-cod-ellipsis,ea7c,
nf-cod-error,ea87,
nf-cod-exclude,eae5,
nf-cod-export,ebac,
nf-cod-extensions,eae6,
nf-cod-eye,ea70,
nf-cod-feedback,eb96,
nf-cod-file,ea7b,
nf-cod-files,eaf0,
nf-cod-filter,eaf1,
nf-cod-flame,eaf2,
nf-cod-fold,eaf5,
nf-cod-folder,ea83,
nf-cod-game,ec17,
nf-cod-gear,eaf8,
nf-cod-gift,eaf9,
nf-cod-github,ea84,
nf-cod-globe,eb01,
nf-cod-grabber,eb02,
nf-cod-graph,eb03,
nf-cod-gripper,eb04,
nf-cod-heart,eb05,
nf-cod-history,ea82,
nf-cod-home,eb06,
nf-cod-hubot,eb08,
nf-cod-inbox,eb09,
nf-cod-indent,ebf9,
nf-cod-info,ea74,
nf-cod-insert,ec11,
nf-cod-inspect,ebd1,
nf-cod-issues,eb0c,
nf-cod-italic,eb0d,
nf-cod-jersey,eb0e,
nf-cod-json,eb0f,
nf-cod-key,eb11,
nf-cod-law,eb12,
nf-cod-layers,ebd2,
nf-cod-layout,ebeb,
nf-cod-library,eb9c,
nf-cod-lightbulb,ea61,
nf-cod-link,eb15,
nf-cod-loading,eb19,
nf-cod-location,eb1a,
nf-cod-lock,ea75,
nf-cod-magnet,ebae,
nf-cod-mail,eb1c,
nf-cod-map,ec05,
nf-cod-markdown,eb1d,
nf-cod-megaphone,eb1e,
nf-cod-mention,eb1f,
nf-cod-menu,eb94,
nf-cod-merge,ebab,
nf-cod-mic,ec12,
nf-cod-milestone,eb20,
nf-cod-mirror,ea69,
nf-cod-move,eb22,
nf-cod-music,ec1b,
nf-cod-mute,eb24,
nf-cod-newline,ebea,
nf-cod-note,eb26,
nf-cod-notebook,ebaf,
nf-cod-octoface,eb27,
nf-cod-organization,ea7e,
nf-cod-output,eb9d,
nf-cod-package,eb29,
nf-cod-paintcan,eb2a,
nf-cod-pass,eba4,
nf-cod-person,ea67,
nf-cod-piano,ec1a,
nf-cod-pin,eb2b,
nf-cod-pinned,eba0,
nf-cod-play,eb2c,
nf-cod-plug,eb2d,
nf-cod-preview,eb2f,
nf-cod-project,eb30,
nf-cod-pulse,eb31,
nf-cod-question,eb32,
nf-cod-quote,eb33,
nf-cod-reactions,eb35,
nf-cod-record,eba7,
nf-cod-redo,ebb0,
nf-cod-references,eb36,
nf-cod-refresh,eb37,
nf-cod-regex,eb38,
nf-cod-remote,eb3a,
nf-cod-remove,eb3b,
nf-cod-replace,eb3d,
nf-cod-reply,ea7d,
nf-cod-repo,ea62,
nf-cod-report,eb42,
nf-cod-rocket,eb44,
nf-cod-rss,eb47,
nf-cod-ruby,eb48,
nf-cod-save,eb4b,
nf-cod-search,ea6d,
nf-cod-send,ec0f,
nf-cod-server,eb50,
nf-cod-settings,eb52,
nf-cod-shield,eb53,
nf-cod-smiley,eb54,
nf-cod-snake,ec16,
nf-cod-sparkle,ec10,
nf-cod-squirrel,eb58,
nf-cod-sync,ea77,
nf-cod-table,ebb7,
nf-cod-tag,ea66,
nf-cod-target,ebf8,
nf-cod-tasklist,eb67,
nf-cod-telescope,eb68,
nf-cod-terminal,ea85,
nf-cod-thumbsdown,eb6b,
nf-cod-thumbsup,eb6c,
nf-cod-tools,eb6d,
nf-cod-trash,ea81,
nf-cod-twitter,eb72,
nf-cod-unfold,eb73,
nf-cod-unlock,eb74,
nf-cod-unmute,eb75,
nf-cod-unverified,eb76,
nf-cod-verified,eb77,
nf-cod-versions,eb78,
nf-cod-vm,ea7a,
nf-cod-vr,ec18,
nf-cod-wand,ebcf,
nf-cod-warning,ea6c,
nf-cod-watch,eb7c,
nf-cod-whitespace,eb7d,
nf-cod-window,eb7f,
nf-custom-ada,e6b5,
nf-custom-asm,e6ab,
nf-custom-astro,e6b3,
nf-custom-bazel,e63a,
nf-custom-c,e61e,
nf-custom-chuck,e6b6,
nf-custom-cpp,e61d,
nf-custom-crystal,e62f,
nf-custom-css,e6b8,
nf-custom-default,e612,
nf-custom-electron,e62e,
nf-custom-elixir,e62d,
nf-custom-elm,e62c,
nf-custom-emacs,e632,
nf-custom-fennel,e6af,
nf-custom-firebase,e657,
nf-custom-folder,e5ff,
nf-custom-go,e626,
nf-custom-home,e617,
nf-custom-kotlin,e634,
nf-custom-msdos,e629,
nf-custom-neovim,e6ae,
nf-custom-orgmode,e633,
nf-custom-prettier,e6b4,
nf-custom-puppet,e631,
nf-custom-purescript,e630,
nf-custom-ruby,e605,
nf-custom-scheme,e6b1,
nf-custom-toml,e6b2,
nf-custom-vim,e62b,
nf-custom-vitruvian,e6b7,
nf-custom-windows,e62a,
nf-dev-aarch64,e700,
nf-dev-adonisjs,e701,
nf-dev-aftereffects,e705,
nf-dev-akka,e708,
nf-dev-algolia,e70a,
nf-dev-alpinejs,e713,
nf-dev-amazonwebservices,e7ad,
nf-dev-anaconda,e715,
nf-dev-android,e70e,
nf-dev-androidstudio,e71a,
nf-dev-angular,e753,
nf-dev-angularjs,e71c,
nf-dev-angularmaterial,e720,
nf-dev-ansible,e723,
nf-dev-antdesign,e72a,
nf-dev-apache,e72b,
nf-dev-apacheairflow,e72c,
nf-dev-apachekafka,e72e,
nf-dev-apachespark,e72f,
nf-dev-apl,e730,
nf-dev-appcelerator,e7ab,
nf-dev-apple,e711,
nf-dev-appwrite,e731,
nf-dev-archlinux,e732,
nf-dev-arduino,e733,
nf-dev-argocd,e734,
nf-dev-astro,e735,
nf-dev-atom,e764,
nf-dev-awk,e741,
nf-dev-aws,e7ad,
nf-dev-axios,e74f,
nf-dev-azure,e754,
nf-dev-azuredevops,e756,
nf-dev-azuresqldatabase,e75b,
nf-dev-babel,e75d,
nf-dev-backbone,e752,
nf-dev-backbonejs,e752,
nf-dev-ballerina,e75e,
nf-dev-bamboo,e75f,
nf-dev-bash,e760,
nf-dev-beats,e761,
nf-dev-behance,e762,
nf-dev-bitbucket,e703,
nf-dev-blazor,e765,
nf-dev-blender,e766,
nf-dev-bootstrap,e747,
nf-dev-bower,e74d,
nf-dev-browserstack,e76b,
nf-dev-bulma,e76c,
nf-dev-bun,e76f,
nf-dev-c,e771,
nf-dev-cairo,e773,
nf-dev-cakephp,e77a,
nf-dev-canva,e77c,
nf-dev-capacitor,e785,
nf-dev-carbon,e788,
nf-dev-cassandra,e789,
nf-dev-centos,e78a,
nf-dev-ceylon,e78b,
nf-dev-chrome,e743,
nf-dev-circleci,e78c,
nf-dev-clarity,e78d,
nf-dev-clion,e78e,
nf-dev-clojure,e768,
nf-dev-clojurescript,e790,
nf-dev-cloudflare,e792,
nf-dev-cloudflareworkers,e793,
nf-dev-cmake,e794,
nf-dev-codeac,e796,
nf-dev-codecov,e797,
nf-dev-codeigniter,e780,
nf-dev-codepen,e716,
nf-dev-coffeescript,e751,
nf-dev-composer,e783,
nf-dev-confluence,e799,
nf-dev-consul,e79a,
nf-dev-contao,e79b,
nf-dev-corejs,e79d,
nf-dev-cosmosdb,e79f,
nf-dev-couchbase,e7a0,
nf-dev-couchdb,e7a2,
nf-dev-couchdb,e7a2,
nf-dev-cplusplus,e7a3,
nf-dev-crystal,e7ac,
nf-dev-csharp,e7b2,
nf-dev-css3,e749,
nf-dev-cucumber,e7b7,
nf-dev-cypressio,e7b9,
nf-dev-d3js,e7bc,
nf-dev-dart,e798,
nf-dev-database,e706,
nf-dev-datagrip,e7bd,
nf-dev-dataspell,e7be,
nf-dev-dbeaver,e7bf,
nf-dev-debian,e77d,
nf-dev-denojs,e7c0,
nf-dev-devicon,e7c1,
nf-dev-digitalocean,e7ae,
nf-dev-discordjs,e7c2,
nf-dev-django,e71d,
nf-dev-djangorest,e7c3,
nf-dev-dlang,e7af,
nf-dev-docker,e7b0,
nf-dev-doctrine,e774,
nf-dev-dotnet,e77f,
nf-dev-dotnetcore,e7c6,
nf-dev-dreamweaver,e79c,
nf-dev-dropbox,e707,
nf-dev-dropwizard,e7c7,
nf-dev-drupal,e742,
nf-dev-dynamodb,e7c8,
nf-dev-eclipse,e79e,
nf-dev-ecto,e7c9,
nf-dev-elasticsearch,e7ca,
nf-dev-electron,e7cb,
nf-dev-eleventy,e7cc,
nf-dev-elixir,e7cd,
nf-dev-elm,e7ce,
nf-dev-emacs,e7cf,
nf-dev-embeddedc,e7d0,
nf-dev-ember,e71b,
nf-dev-envoy,e7d1,
nf-dev-erlang,e7b1,
nf-dev-eslint,e7d2,
nf-dev-express,e7d3,
nf-dev-facebook,e7d4,
nf-dev-fastapi,e7d5,
nf-dev-fastify,e7d6,
nf-dev-faunadb,e7d7,
nf-dev-feathersjs,e7d8,
nf-dev-fedora,e7d9,
nf-dev-figma,e7da,
nf-dev-filezilla,e7db,
nf-dev-firebase,e787,
nf-dev-firefox,e745,
nf-dev-flask,e7dc,
nf-dev-flutter,e7dd,
nf-dev-fortran,e7de,
nf-dev-foundation,e7df,
nf-dev-framermotion,e7e0,
nf-dev-framework7,e7e1,
nf-dev-fsharp,e7a7,
nf-dev-gatling,e7e2,
nf-dev-gatsby,e7e3,
nf-dev-gazebo,e7e4,
nf-dev-gcc,e7e5,
nf-dev-gentoo,e7e6,
nf-dev-ghost,e71f,
nf-dev-gimp,e7e7,
nf-dev-git,e702,
nf-dev-gitbook,e7e8,
nf-dev-github,e709,
nf-dev-githubactions,e7e9,
nf-dev-githubcodespaces,e7ea,
nf-dev-gitlab,e7eb,
nf-dev-gitpod,e7ec,
nf-dev-gitter,e7ed,
nf-dev-gnu,e779,
nf-dev-go,e724,
nf-dev-godot,e7ee,
nf-dev-goland,e7ef,
nf-dev-google,e7f0,
nf-dev-googlecloud,e7f1,
nf-dev-gradle,e7f2,
nf-dev-grafana,e7f3,
nf-dev-grails,e7b3,
nf-dev-graphql,e7f4,
nf-dev-groovy,e775,
nf-dev-grpc,e7f5,
nf-dev-grunt,e74c,
nf-dev-gulp,e763,
nf-dev-hadoop,e7f6,
nf-dev-handlebars,e7f7,
nf-dev-hardhat,e7f8,
nf-dev-harvester,e7f9,
nf-dev-haskell,e777,
nf-dev-haxe,e7fa,
nf-dev-helm,e7fb,
nf-dev-heroku,e77b,
nf-dev-hibernate,e7fc,
nf-dev-homebrew,e7fd,
nf-dev-html5,e736,
nf-dev-hugo,e7fe,
nf-dev-ie,e744,
nf-dev-ifttt,e7ff,
nf-dev-illustrator,e7b4,
nf-dev-influxdb,e800,
nf-dev-inkscape,e801,
nf-dev-insomnia,e802,
nf-dev-intellij,e7b5,
nf-dev-ionic,e7a9,
nf-dev-jaegertracing,e803,
nf-dev-jamstack,e804,
nf-dev-jasmine,e805,
nf-dev-java,e738,
nf-dev-javascript,e781,
nf-dev-jeet,e806,
nf-dev-jekyll,e70d,
nf-dev-jenkins,e767,
nf-dev-jest,e807,
nf-dev-jetbrains,e808,
nf-dev-jetpackcompose,e809,
nf-dev-jira,e75c,
nf-dev-jiraalign,e80a,
